gulay,français
s6-s6,huit
kùr kûmi,hyène
nè,ici
mbé,idiot
ngül,igname
ngàrwày,iguane
ù-,"il, elle"
dé,"ils, elles"
ndä)j£,imiter
suls,inciter au mal
nd5,iquiété : être
Kkùr,secte
tàj#,isulter
til,itestins
bar,iviter
ni,ilousie entre femmes;
im,iloux de : être
ndà-lé,mais
i6,"jarre, canari"
m-,je
kil,joue
àgà,jouer
nds,"jour, journée"
ndüngè,"jumeaux, jumelles"
sär,jusque
né1,"la grippe, la rhume"
n0,là-bas
ng,là-bas (loin)
)yè,laisser
mbà,lait
ùûr,lancer un projectile sur
i1s,"lancer, jeter"
ndù,langue
tà,"langue, langage"
là,large : être
l1à,large : être
tégo,laver
-é,"le, la, lui (obj. de verbe)"
il,cher
baän)j,‘pre
k£-dé,quel
-d£,"ss, leur"
ndaf -tà,vre
yaré,ane : esp. de
bind#,bellule
dègim,lièvre
tèbà,lion
tiré,"lit, lit de boit"
"sér,",loin
kèlèl,"lombric, ver de terre"
nga,long : être
pitz,louer; féliciter
dÿ,lourd : être
ngà-ndél-wsy,luciole
nd0y,luire; briller
na,lune
mèlè,lutte
d5,"lutter, se battre; guerre"
sng,maigre : être
)j1,main
ta,maintenant
dà,maïs
ké y,maison
moy,maladie
mètà,iladie; infirmité
dingèm,ile
kül,inche
ùsè,inger
muf,inger (qc farineux)
ù,inger (qc mou)
ngàli,inioc
geng,mante religieuse
sûku,marché
nj1ys,"marcher, se promener"
k£-ngäl-bènti : KoN=ké11,margouillat
ngà,mari
bày,"marmite, petit"
wà,marqueur d'interrogation
k5k£,marqueur de débarrassement
à,marqueur du futur
g#,marqueur du pluriel : nom
-1,marqueur du pluriel : verbe
té,marqueur locatif
ndédgé,matin. de bon matin
man,maudire
màjilé,mauvais : être
-m,me (obj. de verbe)
kùgè,médicament
wàsE,melon
bégém-tà,menton
ké,mère
mb5j#,mesurer
nàma,ttre les os ensemble
übu-tüjù,el
s6-t£,"eux, être mieux"
ko,1 (mot général)
tey,1 pénicillaire
jèr,1 sauvage
wès,"1, esp. de."
àruü-dÔgà,lle
kèülülu,mille-pattes
mbètà,"mince, svelte : être"
ùbs,modeler
ndàndan : Mh=s$1l,mollet
-mM,"mon, ma (oblique)"
àl,monter
dii-dit,- Langues Sara
djE,"montrer, expliquer"
d9,mordre
kdy,mort
yo,mort; sorcerie
bir,mortier
kéng,mouche
kéng-mbà,mouche tsé-tsé
nom,mouillé : être
0y,mourir
pülulü,mousse
yil,moustique
bàt#,mouton
Kkèr,mûr : être
gèté,n'exister pas
àlè,iger
ràkà,itte : sorte de
tuws,itte : sorte de
ji-sé):-mIi:KbN-dàkabü,uf (9)
kér-ùm,Z
na)j+,er
ndùl,noir :être
gérû,noix kola
r1i,nom
k5r,nombre
bùlè,"nombreux, être"
küm,nombril
yé-kùsè,nourriture
"jè, j-",| [nous (nom.)
j-,nous (nom.)
"-jè, -Jjè",nous (obj. de verbe)
-jé,"nous (oblique); notre, nos"
kig,"nouveau, neuf"
kÔbE,J | nouvelles
j1b#r1i,noyau
il,"nuageux, noir : être"
y1-g0,nuque
küm,oeil
kàw,oeufs
èl,oiseau
ndil,ombre; esprit
nan,OS
ddg-gidè-kâre,ze
mb1,eille
k1ings,phelin
dä,seille
wé,ouvert
tèe,ouvrir
häy,pagaie
ns1l,pagayer
mäpé,pain
màarè-mâno,pangolin
jängä,"panier, sorte de"
njala,pantalons
kàk,panthère
màaktuüb#,papier; livre
béd-bs y,papillon
titz,pareil : être
nùju,"parents, famille"
dàbà,paresse
tà,parole
n0b6,partager
ôti,partir
lé,"pas, ne ... pas"
bängàw,pe
dà-11,ume
nddo,iuvreté
ùgs,yer
ngire,au
ndaf,"‘au, cuir"
mbàw,cheur
ndi ye,peler
èn,pénétrer dans l'eau
kàri,perdrix
bà5,père
mèdà,perles
dd0,personne
kdyé : Mh=nddÿ,personne avec le même nom
"duû, ndéy",petit :être
ndéy,"peu, un peu"
bèr,phacochère
n)jà,"pied, jambe"
gqum,piège
dér,"pigeon, tourterelle"
s00,piler (pour enlever le son)
goy,pilon
käb#,piment
ùgù,"pincer, gratter"
tànji,pintade
dsE,piquer
to,pirogue
go,"ace de, traces de"
kd,acenta
do,"aie, blessure"
nèl,aire
n0©,eurer
ndi,uie
bèl,plume
bil,poil
wüûl,pois de terre
kèng,poison
känj+:KbN-kanje,poisson
ds Î,poisson :esp. de
ngà-ndéb#,poitrine
mbdr,pomme cannelle
pèr-k$bé,| pomme d'Adam
wuüys,porc-épic
tà-kéy,porte
"dto, dy",porter
95,porter (des habit)
ùlè,porter [habits]
ùnds,poser à plat
nduns : Mh=nd£na,"poser, incliner contre"
di rè,poteau tri fourchu
ngiss,pou
künjé,poulet
1s,ur que
kàre,ur rien
tèds : Mh=kÈtsS,ur; à cause de
tèds-df,urquoi
ndûüm,urri : être
ûbè,usser
bübüru,ussière
dSséy,"premier, d'abord"
tàa,prendre
ûn,prendre
té,préparer la bouillie
tüne,"prêter, emprunter"
gat+,prix
tà,problème
ngèr,proche
èbà,"profond, être"
düngé,profondeur
njè,propriétaire
küwé,propriétaire
ddi,puiser
bolè-màan,puits
55-63r,punaise des lits
wüy,pus
l1-ngat,python
1d-k£,quand
ldti-bày,quand?
s6,quatre
kàd#,"que, pour que"
é,"que, qui"
k#,"le, qui, ce que, ce qui"
ɗi,"1e, quoi"
k3,"iémander, solliciter (don)"
bông,eue
né,"ii, que"
ngirè,icines
dy,"ramasser, prendre"
àgà,ramper (un enfant)
àlè,ramper (une plante)
bàa,rancune
ndiss,"raser, se"
yingè,rasoir
ndat,"rassasié, être"
k$b£,rassembler
nim,rat :esp. de
ngdyo,rat :esp. de
yégE,"rat, souris"
nàl,1 | rater; manquer
nar,rattraper
ndä)j£,redresser
gir,\ | réfléchir
mbaté,refuser
dûsû,remplir
kore,remuer
kûturu,remuer
ndÔt#,rencontrer
tubs,renvoyer; chasser
ètà,répandre une odeur
süûtü : Mh=sûté,‘pas sans sauce
ndigà,‘pondre
yè,:sidu
kèb#,spiration; repos; souffle
yong-yong,ste
này,2ster
ndél,"veiller, se réveiller"
tél,"venir, rentrer; tourner"
n1i,rêver; rêve
bèrnè,rhinocéros
kàre,rien; vide; normale
sûku,rincer
ùgo,rire
)jàng,rival
màr,| | rônier
tàl,rosée
gèdè,". | roter, éructer"
kèr,rouge : être
déb#,"route, chemin"
pôre,ruche
ngirè,rugueux : être
yè-ngir,sable
yè-ngir,sable
séng,sac
gàg,sagaiïe : sorte de
ningè,"sagaie, lance"
üwè,"saisir, prendre"
Bèàr,saison pluvieuse
B6al,saison seche
yoré,ileté
yor,"live, crachat"
mést,ing
tsndx,ingsue
