bebote,français
ngénjé,hernie
KkSw,héron garde-boeufs
k3y,hibou
tàg£-nè,hier
àbà,hippopotame
kdsi,houe
Èib#,huile
j1-j06,huit
£-gèngi,hyène
nè,ici
mbé,idiot
ngüûl,igname
ngàrèm,iguane
ù-,"il, elle"
ndâj+,imiter
s01l,iquiété : être
kùu,secte
tà4j+,isulter
kùls-si,itestins
ni,ilousie entre femmes;
£-ng00,"jarre, canari"
n-,je
r5-nè1l,"joie, félicité"
mbé,joue
kôgE,jouer
nds,"jour, journée"
ndingè,"jumeaux, jumelles"
b£t£,jusque
nd6-bè,là-bas
n%,là-bas (loin)
]yè,laisser
"mbé1l, mbà",lait
£f-nèngs-màn,lamantin; esprit de l'eau
ùr,lancer un projectile sur
}15,"lancer, jeter"
ndôn,langue
tà,"langue, langage"
tât#,large : être
lày,large : être
tôg#,laver
-$#,"le, la, lui (obj. de verbe)"
t5n,cher
bänjx,‘pre
k£-rà,quel
-dé,"ss, leur"
küsi,ane
£-bindi,bellule
dd-tôgEm,lièvre
631 : Ba=631,lion
t£ré,"lit, lit de boit"
séy,loin
ngal,long : être
p£tz,louer; féliciter
3ÿ,lourd : être
£-ndoy-dé,luciole
nd©y,luire; briller
nay,lune
mÈilè,lutte
dS,"lutter, se battre; guerre"
èng#,maigre : être
)j1,main
ngàa,maintenant
nj4-kèdE,maïs
Kk$ y,maison
mdy,maladie
mètà,iladie; infirmité
mb+s3,ilaxer (boue pour briques)
dingèm,ile
Kkül,inche
s,inger
d,inger (qc mou)
ngàli,inioc
£-gSng,mante religieuse
sûkE,marché
nj1ys,"marcher, se promener"
£-b3$,margouillat
ngàw,mari
mba-tà,"marmite, petit"
wà,marqueur d'interrogation
k5$,marqueur de débarrassement
à,marqueur du futur
je,marqueur du pluriel : nom
-1,marqueur du pluriel : verbe
t£,marqueur locatif
ki-sf,matin. de bon matin
màn,maudire
-màjài,mauvais : être
-m,me (obj. de verbe)
déwa,médicament
wàsx,melon
£-ngèngérs,menton
Kk$,mère
mb5j#,mesurer
ùbi-tèji,el
s6-t£,"eux, être mieux"
téy,1 pénicillaire
wàa,"1, esp. de."
sàk#,lle
£-külülu,mille-pattes
mbàtài,"mince, svelte : être"
Èbs,modeler
mi,moi (forme indépendant)
"-""","mon, ma (oblique)"
àl,monter
£-d1i,monticule; termitière
dji,"montrer, expliquer"
d9,mordre
koôy,mort
yo,mort; sorcerie
bir,mortier
kéng,mouche
mbs 1,mouillé : être
0y,mourir
yi1,moustique
bàt#,mouton
mb3)jÈ,mûr : être
gôté,n'exister pas
àlè,iger
pâl,itte : sorte de
tuws,itte : sorte de
0t£,> faut pas
ii-kâre,uf (9)
èm,Z
man)j+,er
ndùl,noir :être
géro,noix kola
t5,nom
k5r,nombre
ya,"nombreux, être"
künm,nombril
né-kùss,nourriture
ji-,| [nous (nom.)
i-,nous (nom.)
-jè,nous (obj. de verbe)
-jé,"nous (oblique); notre, nos"
sigi,"nouveau, neuf"
känd#,noyau
il,"nuageux, noir : être"
du,"nuit, sombre : être"
g0,nuque
kèm,oeil
kàw,oeufs
yè1,oiseau
ndi1,ombre; esprit
nan,oncle maternel
dôg-gidé-kâre,ze
mb1,eille
s+ngs,phelin
dà,seille
tâg#,ouvert
tèe,ouvrir
käy,pagaie
151,pagayer
mépà,pain
mèar-mangâ,pangolin
kàrè,"panier, sorte de"
kàgà,panthère
mbete,papier; livre
£-1èbe,papillon
mba,parce que
to,pareil : être
n0j)+,"parents, famille"
dàw,paresse
tà,parole
Kkay,partager
dt},partir
à Î,"pas, ne ... pas"
yolè,passer sur le feu
bangàw,patate douce
nd00,iuvreté
Ègs,yer
ngxrs,au
ndaà,"‘au, cuir"
mbàw,cheur
èn,pénétrer dans l'eau
bsr,pénis
kèrè,perdrix
