daba,français
j-,nous (nom.)
-jé,nous (obj. de verbe)
kìj :,"nouveau, neuf"
kút-gö :,nuque o
kòm,oeil
kàw,oeufs
yè£,oiseau
njíl :,ombre; esprit
nän,oncle maternel
dî-÷é-jö÷,ze
mbï,eille
kïngû :,phelin
÷á,eille
tág :,ouvert
î®,ouvrir
háy,pagaie
pël,pagayer
mápà :,pain
njälä,pantalons
kùßà :,panthère
mbëtë :,papier; livre
kìtû :,parce que
tí,pareil : être
nöj :,"parents, famille"
à•,"pas, ne ... pas"
bängàw :,patate douce
dà-jï,ume
ndò :,uvreté
ùbä,yer
ndä© :,"au, cuir"
ngè-ndò-känj :,cheur
bùrà :,père
mèd :,perles
dèë,personne
jô,petit : être
jô,"peu, un peu"
bò÷,phacochère
njà,"pied, jambe"
güm :,piège
dér,"pigeon, tourterelle"
sòö :,piler (pour enlever le son)
gòy,pilon
ndóngó :,piment
ùg p,"pincer, gratter"
tànj :,pintade
îs,piquer
tò,pirogue
kî :,acenta
dò,"aie, blessure"
nè£,aire
njï,uie
bè£,plume
b¡¬,poil
wú£-ndà :,pois de terre
känj :,poisson
tìb :,poisson : esp. de
ßò,poitrine
jûr-kôb,pomme d'Adam
ïyû,porc-épic
tà-kúj,porte
ìtö,porter
ùlà,porter [habits]
ùndä :,poser à plat p
ngísä :,pou
künjá :,poulet p
kìtû :,ur; à cause de
tû-÷í :,urquoi
ndùm :,urri : être
bú,ussière
tàä,prendre
ùn,prendre
ò,préparer la bouillie
tünä :,"prêter, emprunter"
gät :,prix
ngëg :,proche
ùr,"profond, être"
ùmbä,proposer
ngè,propriétaire
kíßë :,propriétaire
bìlò-màñ,puits
ßï,pus
màm,python
lò-ngàá :,quand
sô,quatre
÷í,"e, quoi"
kî :,"émander, solliciter (don)"
ßòng :,eue
ngàá,"i, que"
nª,i?
ngìrà,cines
îy,"ramasser, prendre"
àg,ramper (un enfant)
àl,ramper (une plante)
b¼º,rancune
nïngá :,rasoir
ndän :,"rassasié, être"
yég :,"rat, souris"
nà£,rater; manquer
gä :,réfléchir
÷òs :,remplir
bùr,remuer r
tübä :,renvoyer; chasser
òt,répandre une odeur
bìs :,sidu
kòö,spiration; repos; souffle
ndég :,ste
n¼y,ster
ndó£ :,"veiller, se réveiller"
tél,"venir, rentrer; tourner"
n¬,rêver; rêve
òñg :,rhinocéros
ßäl,rien; vide; normale
ìgö :,rire
jàng :,rival
tà£,rosée
òng :,"roter, éructer"
kàs :,rouge : être
÷ób :,"route, chemin"
ngá®-köy :,sable
ßôl,sac
nìngà :,"sagaie, lance"
ùwà,"saisir, prendre"
ßàr,saison pluvieuse
ßäl,saison seche
mï÷ó :,leté
ör,"live, crachat"
mós :,ng
sª,ns
tª,uce
gè®,"savoir, connaître"
gƒnŸy :,scorpion
tùt :,sec : être
àÿ,sec : être (en surface)
ndòg :,secko
yék,secouer
mbà,sein
kàt :,sel
jíngá :,semoule
gäng :,separer
més-jöó÷ :,sept
lï s,serpent
kór,sésame
bŸ :,seulement
ké,si
tïyö :,fflet
ßèt :,nge
m¡hª :,x
kùndä :,if
kàd :,soleil
-á,"son, sa"
mä• :,sorcier
tèë :,sortir
jïg :,souche
ká-gè® :,spatule en bois
njíb,sucer
nëÑg :,sucer
ìl,sucer (enfant)
rëp :,sucré : être t
tòt :,sueur; suer
dî,"sur, dans t"
máñg :,tabac
"käg-njì,mbätä",tabouret t
tôl :,iller; affûter
màs :,marinier
kîd :,mbour
kírë,tamis : sorte de
bŸ®,tante paternelle
ìï,tarir
-ï,te (acc. s.)
ngìrà :,tendons (de viande)
wº,termite ailé
yç,termite blanc
nèng :,"terre, sol"
dî-nèng :,terre; territoire
gù® :,testicules
dî,tête
käs :,tibia t
kád :,tige
mŸ :,tique
ndôr :,tirer
ìsö,mber
èd,mber (pluie)
-í,"n, ta; toi"
÷ùg :,rdre; être courbé
mŸ,rtue : esp. de
îd,toucher
nél-mä•,tourbillon
kéré :,tous
kés :,tousser
àt,tranchant : être
kùlà :,travail
ndèb :,trembler
dî-mîtá,trente
ìjö,tresser (le secco)
mîtá :,trois
wól,trou
bìlò :,trou
mbùt :,"ouer; percé, être"
ìngà :,ouver
