french_term,Beb,Bd,Db,Gor,Gu,KbN,Kbb,Lk,Mb,Mo,Nar,Ngb,Sr,NgT
"blanc, Européen",nèàsäér,nàsär,,nàsér,nèàsär,nèàséra,ndaf -ndà,l4w-ndà,nèàsär,nàsär,nàsâr,nèàsäâr,nàsâr,"nàsât,"
"boeuf, vache",màng#,màangx,mànñng,màangx,màng,sa,mang,màang# : M=màng,,màng,màang,mang,màang,
boire,àÿ,ày,ày,ày,ày,ÈE,ày,ày,àÿ,ày,ày,ày,ày,àÿ
)isson,y1w,kàsà,,y+wi : GuU=y1b+,,,kGto,,kàsà,,kàsi:NgT-kàsi,k1do,kàsà,
)isson alcoolisée (fort),äârgè,,äérgè,ärgè,ärge,,äârgè,ärgè,ärgè,ârge,ärgè,ärgè,yérgè,
nn : être,mà;j,mà;jà,mbe,màj +,mà)jà,kôr1,mà;ji,mày,mà j à,mà jà,màjà,màji,màjà,mà)jà
sse (la),gène,gÈnè,,g£#15,,gùy,,ginà,"gènà, gènà",ginè,,ginà,,
UC,bäl,bàl,bàl,bàl,bàl,bàlà,bàl,bàl : Mh=bàl,,bàl,bàl,bàl,bàl,
uclier,,dè,,,dèr,kütà,,dèr,,dèr,dèr,dèr,,
uche,tà,tà,tà,tà,tà,tà,tà : Kul=tà,tà,t à,tà,tà,tà,tà,tà
ue,bôr,bèr,bèt,bôr,bôr,bôté,,,,,,,,
Français :,,,,,,,bèr : Kul=bôd5,bôr,bôr,yings,bôr,bôr,bdr,bôr
bouillie,biys,biys,,biys,biy,bf ya,biya,biya,biya,biys,bfys,bfya,biya,biya
bouillir,leg£f,159#,1eg,0l1e,ole,,18k£,15gf,1eg£,dle,èle,d1E,neg,neg£é
boule de mil,mûd#,"mùd#,mür",bina,mûd#,mèr,rokù,müru,bina,mbùr,mûr,mùr,müru,mèr,
bourrer; pousser : piétiner,mbGy,mboy,,mb+ss,drè,ùP à,mbüsü,,bà,ùbè,mbüsz,ùbà,"irè, iPà",Bà
"bousier, scarabée sacrée",,£-bif-si,,,bii,,,£-bii-si,k£-bii,b1-yisi,méng£rè,bi-si:Sr-bii,,
braises,vyal,yal,,yal,yal,,yel,yel,,yal,yel,k5r-pèr,yel,
