french_term,Beb,Bd,Db,Gor,Gu,KbN,Kbb,Lk,Mb,Mo,Nar,Ngb,Sr,NgT
fumée,sà,sà,sà,sà,sà,tuüuhü,sà,sà,,sà,sà,sà,sà,sàhà
"furoncle, bouton au visage",,ngàw,,,ngàw,,,ngàw : M=ngàw,,,,ngàw,,
future vie; au-delà,,ko06,,,k66,,,;àbàw,Kk06,kG6,ng6y,,,
galago : esp. de,,bàtàng#,,,,kî-mana,bètangx,bitàngz,bèràng,,,bàtang,,
"gale, la",,,,,bàti-wal,,,,,ngéà-ngüns,,,kèri,
garder [troupeau],ngsn,ngsm,,ngom,ngom,,ngsm,ngsm,ngom,ngsm,ngom,ngsm,ngom,
gauche,gè1,gè1,gèl,gè1,gèl,gä4li,gè1,gè1 : Mh=gèl,,gè1,gèl,gèl,gèl,gèl
mir,tèims,tims,,tùms,t00,téhE,towa,tüwa,t06,tümse,t00,èl,too,
ncives,yids,yidà,büd-ngäng,yidi,bir-gôgi,,,dà-kàsi-ngang,dà-yidè,yidz,b6ro,yir,bérà,
nette,tag+,tag+,,,täkz : KoN=täg0,,täkz,tägE,tag+,tag#,,tag+,,
nou,,,,,mèr-kèji,jè,,,,Pügülûü-njà,kèsà,-sfi,kèjà,-jà
rafe,kaäl,kol,,,kèrlôw,kd1,,,kôl,kôl,kôl,,kol,
aner,,fù,,,,ngâ,,Bùrù,bé],Bù,Bùr,Bùr,,
mbo,y£ms,y£ms,nimé,nûws,yimé,némà,yima,ima,n£mé,yims,gôm,ima,n£mà,
ndoler : se,,,,,ûmes,,,,süunjur,,,nduf,,
"gourde, esp. de",gàl,gàl,,gàl,gèl,gélà,gàl,kü-ngaw,gàl,gàl,käl,g61e,gàl,gàl
gourdin,gà1,gè1,gàl,gil,gl,gdlè,gùrû,gürû,gàl,gàl,gô1,q1l,gèl,dEngi
goût,,,,,mbéré,,,,,méré,,,-mbérà,
goûter,na,na,na,n3,na,ndo,na,n3,naa,na,na : NgT-=na,n3,na,
grâce à,tà-kül,tà-Kkül,,kÈità-kul,tà-küul,,mbä-tàr,mbôr-d3,kÈtä-t55,"mbsl-dà,",tè-kul,mb$1-d°?,tà-kül,kÈita-kül
"graillon, flegme",,,,,,,,hàgÈà,g0o,nd31l,kàa,,-kàrà,
"grain, germes",Ko,Kko,Kko,ko,ko,koho,Kko,Kko,,ko-né,ko,ko,ko,
graisseux : être,èmi,èmè,èm,èmè,èmè,,èmè,ème,yäm,ngùr,yèmbà,èmi,yàmbà,
grand : être,bôÿ,,boô,mong#,bo,woo,,,,,,,,
- Langues Sara,,,,,,,"ndsw, bÔ:Kul=kékd",bo : Mh=bôo,,boÿ,bù,boÿ,bo,
grand-frère,,,,,,,,bùba,,päpé,p4pa,,,
grandir,tôgi,tôgi,,tôgi,tôgà,tÔg,tèki,tÔgi : Mh=tôgi,,tôgà,tôgi,tôgi,tôgà,
grandparent,kàw,kà,kà,kàw,kà,kàäkä,kà : Kul=hàha,kà,kàa,kà,kà,kà,kà,kàhà
gratter,èngé,ùy,,ùy,nd90,èkè,ings,ngé,,ingé,,ngé,nd00,ùg
grêle,Kk5Ss#,k5s#,,k5sE,k5CxE,mb6c,k5j1,k531,k5SsE,k5s+,k95s+,k5j1,k5st,
grenier,dàm,dàm,dàm,dàm,dàm,wa,dàm,dàm,,dàm,moy,dàm,moy,
grenouille : esp. de,,,,,béà,,,"gè, 1à",gimbà,,gimbè,,,
griffes,,,,gidf,yal-jt,réli-njàa,,,k£-mur-j1,gin-njà,,gir-gl,hëêle,
gronder,ndàngi,ndàngà,ndàng,,ndàng,njaàmà,ndàäng,ndàngà : Mh=ndàng,,,,ndàng,,ndàng
gros : être,bôÿ,b0,,bù,bôy,,bù,bdyÿ,bôo,bôÿ,bù,"bù, boÿ",bù,b0
grue couronnée,,"dängä,dang#",,,,Kki-däw : Mh=dang,,,,,,dang,,
guêpe jaune : esp. de,,,yet,"yètz,rast",kdr-wäsé,nète,,,yetz,,yet#,,,yetz
guêpe maçonne,gèms,gûms,,gùme,gümbs,gümba-d3gà,qüma,güma,gimba,gùms,gimbs-gir-kère,qüma,gimba,
guêpe noire :esp. de,,,birbi,mbérbi,,,,,birbi,mbèr-mbit,gèmbs-ndùl,mbir-mbi,,
guérir; sauver,àji,àji,à),àji,àji,àyà,àji,àj)i,àjà,àj?:Nar-àji:NgT-àjà,,àji,àjà,
"guetter, traquer",,,,,,,,,téy,ngèy,,,téÿ,
"gui, plante parasite",tém,tém,,,tém,tôm,,Cém,tôm,tém,,tém,tém,
iche,k+ngs,k£ngs,künga,k+ngs,küngs,künga,tfna,Èfina,kEnga,küungs,kængs,tina,-kEnga,k:ngo
imeçon,kùy,kûy,kùy,kùy,kùy,kùy,Kkiy,kùy : Mh=kùYy,,kùY,kùy,Kkit,kùy,
"ingar (pour l'ombre, etc.)",p4la,jàngilà,dàb,pàl,dàb,dàbà,p4l,dd-pél,dàw,dàbà,dàbài,bärd,dàbà,
iricot,mûnji,mÈènjà,mèn),münjà,mûnjù,minjd,münjù : Kul=môonj0,mèn)ji,münj0,mün)jù,monjo,minji,mün jo,minjo
"ut, en haut",tàé,tàé,ddé,tàé,d9$#,,tàf,tàf,d06,"ngémé,",d96,tàf,dd$,doé
rbe : esp de,,,,,,,,häya : Mh=haya,,Kkay,,,haya,
rbe : esp. de,,,,,,tèmbè,,cCèmè,tàm,tèmè,,tèmè,tèmbà,
herbe mauvaise : esp. de,,tone,tiro,tono,,EIyo,tiro:Kul=tiyo,"k1ro : Mh=tE#ro,tuüuro",,,toro,,,
"herbe, paille; brousse",mà,màù : Do=mû,,mà,mù,ngàl1,mà : Kul=ùümù,mù,mûu,wàlè,bèmbeé,mt,mù,màù
hérisson,ndûr,ndür,ndûüd,£-ndûr,ndür,njürù,ndüru,ndüru,ndür,ndûr,ndüûr,ndür,,
héritage,,,,,ndùbs,kori,,ndùba : Mhb=ndiba,,,,,,
hernie,ngénjé,ngén)#,,,ngén)#,,,ngénjf,ngén)j£,ngén)#,ngénj+,ngénjfi,ngônj,
héron garde-boeufs,KkSw,£-k5w,,kéN,kSw,KkSwE,£-KkSw,£-kSir,k06,kSw,ko6,kéw,ko,
hibou,k3y,kdY,k3y,kdy,kdy,diidii,k3ÿ,kÔwe,k3ÿ,kdÿ,kÔY,k3y,kdÿ,kdY
hier,tàg£-nè,tàg£-nè,tàg$i-nèe,tàgf-nè,,,,,,,,,,
- Langues Sara,,,,,tàg£-1àa,njinj)69,tàk£-nè : Kul=nj6,tàg£-nè : M=tàg£i-bè,,tàg£-nè,-tàg£i-Pèe,tàg£f-nè,-tàg£-bès,tàg£i-bèé
hippopotame,àbà,yàbà,,àb}à,àbà,;3-àbà,hàbà,àbà,yàbà,àbà,yàbà,àbà,yàbà,
houe,kdsi,kèsi,,k3sE,kdsi,,kdsi,kISE,k3sÈ,k3sà,kdsi,kdsi,kdsi,kèsi
huile,Èib#,Èib# : Do=yüb,,ùw,ùbu,béÿ-yä-ya,übü,Übuü,,ùb+,yibt,ùbu,yibz,yùb+
huit,j1-j06,)1-j06,dé-di-s$,j1-)06,s6-s6,sàlinja,)j1-j06 : Kul=sàlenja,gènè-)06,j1-)06,ji-này-)06,s6-5$,)j1-này-)06,s5-s$,s6s$
hyène,£-gèngi,r£égèm,küyum,$-gèngà,kùr kûmi,nèÿ,£-rigim,£-Bàg£là,,P4girà,Pôñg,rigèm,bông,bôngz
ici,nè,nè,nèe,nè,nè,j6,nèñ,nè : Mh=1àa,,nè,làa,nè,làa,-làa
idiot,mbé,,bèd,mbé6,mbé,,mbé,mbé : Mh=BèdË,,mbé,mb6,gèbà,mb6d,Bèai
igname,ngüûl,$£-ngüûl,,ngül,ngül,,£-ngûl,£-nguül,ngül,ngül,ngül,ngül,ngüûl,ngüûl
iguane,ngàrèm,ngàrèm,,ngàrwày,ngàrwày,,ngàrd,ngàrd : Mh=ngàrwày,,ngàrèm,ngàrwày,ngàrù,ngàrwày,
"il, elle",ù-,ù-,,n-,ù-,,ù- : Kul=ni,ù-,ù-,ù-,ù-,ù-,,ù-
"ils, elles",,d-,,,dé,,d-,£-,,d£-,,n-,,
imiter,ndâj+,ndàâj#,ndé)j,nd£ngs,ndä)j£,ndàj0,ndéit,ndéit,ndéj#,ndäéj+,ndéjs,ndä)j1,ndéj#,ndé)j#
inciter au mal,,suls,,,suls,,,"tula,süula",s+1a,süuls,,"sula,tula",,
icliner (pour verser),,,,,,,,,dilè,ùy,,,dèl,
iquiété : être,s01l,sol,,,nd5,,,,s01,s01,,,,
secte,kùu,küûûü,kùr,Kkùr,Kkùr,,küru,küru,,kùu,Kkùr,Kkùr,kùr,Kkùr
secte : cantharide,,n)£bs,,,,ki-mâlé-gègérd,,,ng$15,,,njüba,,
isulter,tà4j+,tà4j#,téj,tàjr,tàj#,,tàj1,téj1,tàj+,tàj+,tâjr,tà)1,tàj#,
itestins,kùls-si,tit,til,til,til,tiht,3jè,sèimbàdà,,til,tir,ngän-si,tir,-tiht
iviter,,,,,bar,,,Bär,kün,Ba,,baär : sr-bex,,
ilousie entre femmes;,ni,ni,ni,ni,ni,néÿ,ni,ni,nii,ni,ni,ni,ni,
iloux de : être,,,,,im,,,,ndor,im,,,yim,
mais,,,,,ndà-lé,,,sär,bât£,ndà-à Î,béy : N3T=bât£,sâr,bäté,
"jarre, canari",£-ng00,f-ngd6,ki-ngùr,£-ngd0,i6,gfrù,36,j6,,j6,j6,j6,j60,jiyé
je,n-,m-,m-,"m-,m-",m-,mi,m- : Kul=m-,m-,n-,m-,m-,m-,m-,
"joie, félicité",r5-nè1l,,ro-kè,r5-nè1,,,r5-nèl,r5-1è1,ro-nèl,,r5-nèl,r5-1èl,r5-nèl,-ro-nèl
joue,mbé,mbé,kil,mb$,kil,mb#à,B51,B$1,mbéo,sül,mbér,b$1,mbèr,
jouer,kôgE,kôgE,nông,"kôg#, ndam",àgà,njik1,ndan,ndam,dông,ndam,kôg#,ndam,kôgE,
"jour, journée",nds,nds,nds5,nd5,nds,kàjà,nds,nds : Mh=nds55,,nds,nds5,nds,nd5,nd5
"jumeaux, jumelles",ndingè,ndèngè,ndüngà,ndüngè,ndüngè,njüngà,ndùngà,ndüngà,ndinga,ndùüngè,ndèngs,ndüngà,ndènga,ndèinga
jusque,b£t£,b£té,,râtà,sär,,ndér£ng,säâr,mbéa,sär,mbéng,sär,mbéng,
kyste,,,,,,,,,gf lé,kà,g£#1s,,g{#là,
"la grippe, la rhume",,,,,né1,,-mbIkE,£-mbd,ngàmo,,ngomo,küngä-beënji,,
là-bas,nd6-bè,nd6,,n06,n0,jün,yé-bèn,kèn,nd6,y6,n00,n06,n06,n06
là-bas (loin),n%,nû,nû,nû,ng,,nûn,nû,nûüu,nû,nû,nû,nû,nû
laisser,]yè,kyè,]yà,]yè,)yè,ina,i yà : Kul=inà,iyà,yà,lyè,iyè,]yà,iyà,iyà
lait,"mbé1l, mbà",mbà,mbà,mbà,mbà,mbaàa : Kul=mvà,,mbà,mbàa,mbà,mbà,mbà,mbà,mbà
lamantin; esprit de l'eau,£f-nèngs-màn,,,,,né-màne,,àngà,hàng,dä-màn,,àng,,
lancer un projectile sur,ùr,ùr,ùd,ûr,ùûr,,ùr,Ùùrù,,ùr,,ùr,,wûr
"lancer, jeter",}15,i15,ila,15,i1s,,ila,)i1à,,i1s,Èns,ila,ina,èna
langue,ndôn,ndèn,ndo,ndèn,ndù,ndS13,ndà,ndo,nddo,ndo,ndo,ndo,ndo,nd9
"langue, langage",tà,tà,tà,tà,tà,tà,tàr,tàr,,t à,tà,tàr,tà,tà
large : être,tât#,tât#,,tâtx,là,à à,tâtE,tâdz,tét£,tétz:Nar-=là,,täd#,là,1l à
large : être,lày,,,tât#,l1à,,tât#,,làa,tât#,là,tâd#,là,
large : être (chemin),,,,,,,,bùdu-büdaù,mom,,mong,,,
laver,tôg#,téôgx,t figé,t6gx,tégo,t 53,tôko : Kul=t63,t6g0,,tôgz,t6g0,t6go,tégù,t#go
"le, la, lui (obj. de verbe)",-$#,-é,-4,-6,-é,,-é,-é : Mh=-4,,-é,-ù,-é,-ù,-4
cher,t5n,t5n: Dhb=ton,,ton,il,t5ne,ton,ton,ton,ton,ton,t5n,ton,ton
‘pre,bänjx,bänix,ban),banj#,baän)j,kinjt,bänjt,bänji,bän)j+,bän)j+,bänj+,-baän)ji,bänj,
quel,k£-rà,k£-ré,ngàä-dé,k£-rà,k£-dé,,k£-dé,g£-dé : Mh=k£-dé,,k£-ré,k£-dé,g£i-dé,k£-ràâ,k£-dé
"ss, leur",-dé,-dé,-dé,-dé,-d£,,-dé,-jé : Mh=-dé,,-dé,-d£,-dé,-d£,-d#
vre,,,,,ndaf -tà,,,ndaf-tà,ndaf -tà,,ndaf -tà,,,
ane,küsi,,,,,,,ji,di i,,,,,di
ane : esp. de,,,,küm-kèdi,yaré,,,yèàrx,yaf,yaé,,nèr,yaf,
ane : esp. de,,,,,,,,kfya,,kiya,,Kkivya,,
bellule,£-bindi,b£ndifi,,$£-bèindi,bind#,gfmbt,,gi-gindi,,,,,,
Français :,,,,,,,,,"dündo,bindi",,dii-nd1,bir-bindi,,
lièvre,dd-tôgEm,dîtigqüm,,didiguüm,dègim,womo,ür,om,,ddgim,dÔgzm,dddèi-5m:Sr-ddg9gèn,,dôgæmbz
lion,631 : Ba=631,,,bàl,tèbà,ngèsè,£-nam,"tôb),B31",tübè,B31,B31,tèbè,b31,
liquide de la bouillie,,,,,,,,,sèr,sè,,,sdl,
"lit, lit de boit",t£ré,,,tiré,tiré,-Bida,tira,Cira,tiré,tiré,tiré,tira,trré,
loin,séy,"sày, séy",ùdà,sây,"sér,",,5Sw,èw,séy,sày,sèy,èw,sày,sày
"lombric, ver de terre",,ngé-si-sèlèlè,,,kèlèl,,,£-kèléle,k£-nga-sii-sèli,,kèlèle,,,
long : être,ngal,ngal,,ngal,nga,,ngal : Kul=àwû,nga,ngal,ngal,sà,ngal,ngal,
louer; féliciter,p£tz,pé£t#,yit,pit£,pitz,,,,,,,,,
- Langues Sara,,,,,,hÎt1r,wäl,,hîtz,pitz,,pidi,hîtz,
lourd : être,3ÿ,3ÿ : Do=dÿ,,dÿ,dÿ,,dÿ,9Y,,dyÿ,dÿ : N9T=3ÿ,9ÿ,dy,
luciole,£-ndoy-dé,£-ndoy-dé,,£-ndoy-dé,ngà-ndél-wsy,,,k5m-ngàw,k£-nd55-mbél,£-ndoy-dé,k£-ndogo-mbéle,büsü,nd5-bélé,k£-nd5-mbélé
luire; briller,nd©y,ndéle,n)i110,ndé61o,nd0y,,,ndogé,ndü1c,ndoy,ndéle,ndéle,nd$le,
lune,nay,nay,na,näy,na,nShE,nSy : Kul=nafe,nay,naa,nay,na,nay,na,naha
lutte,mÈilè,milè,,,mèlè,mbilè,,mùl à,,mülè,,mùl à,,
"lutter, se battre; guerre",dS,r5,d5,d5,d5,r5,dS,,d5s5,d5,dS : NaT=dS,d5,r9,
machette,,,,,,,,,bàrkà,küpküp,,,bàrkà,
magouste à queue blanche,,nja,,,,,,nja,n)3a,n)a,,n;ja,,
maigre : être,èng#,èng#,,èngx,sng,ndék5,èngz,,yaäm,èng#,ren,ysm,ûng,mong#
main,)j1,)1,;1,)1,)j1,j111,j1:Kul=jint,it,5j1,j1,)j1,j1,)1,
maintenant,ngàa,Pàsénè,,ngàa,ta,äésà,ngàa,bisi-nè,ta,ngàa,k£-ndo-t£,bèsf-nè,ta,ta
maïs,nj4-kèdE,£-b$1£mté,nj0,mésèr,dà,bày-mangà,£-ndàä-kiri,njà-,,,,,,
kèrfi,,,,,,,,,k£-mbéré,mäsàr,gdj)i-dûwd,mâsàr,gdy-dà,gàdj)i-d3
maison,Kk$ y,kéy,kü;,k$y,ké y,käÿ,kéy : Kul=häÿ,kéy,küû)£,ké y,küjt,kéy,küûjà,küjé
maladie,mdy,moy,moy,mÔy,moy,,r5-to,r5-t0,moy,moy,moy,mèy,mdy,moy
iladie; infirmité,mètà,mètà,,mdtè,mètà,motù,mètà,mèndè,,mètà,1igz#r1i:NgT-motà,mèdà,motà,
ilaxer (boue pour briques),mb+s3,,,,,jüjü,,,1$ÿ,mboy,15y,mboy,,
ile,dingèm,dingèm,) ingà,-dingèm,dingèm,,;jingàw,jingàw,dingäà,dingèm,dingàm,dingàm :Sr-dèingàm,,dingà
inche,Kkül,kül,,kül,kül,ko11,,Kkül,,kul,kül,kul,kul,
inger,s,ùsÔ,ùsà,s,ùsè,isà,ùsà : Kul=ùsà,ùsà,sà,ùsd,isè,ùsà,isà,isà
inger (qc farineux),,,,,muf,mbiri,,murg,,muû,muf,"murû,mun",muf,
inger (qc mou),d,0,,0,ù,,0 : Kul=dnd,0 : Mh=d0o,,d,d,0,ù,
inioc,ngàli,ngàli,gàjà,ngàli,ngàli,ngàlè,ngàli:Kul=ngàlè,g9y-ngirà,,ngàli,ngàliyà,,,
Français :,,,,,,,,,,,,ngàli,ngàli,ngàriyà
mante religieuse,£-gSng,$-g5ngx,,£-gong#,geng,,,£-g5ng,ké-gong,$i-g5ng,k£-ngdôr-badä,géñg,käm-dd-ra,
marché,sûkE,sûk#,,sûkE,sûku,sûkù,10-làb+-né,nàdi-né-ndoc,sûkx,sûk,sûk#,sûgi,sûkx,sûké
"marcher, se promener",nj1ys,nj+ys,,nj)1ys,nj1ys,kàbe,nja,njà,ndiya,nj1ys,nj1ys,nja,nj+ra,
"marécage, étang",,,,,,,,b5y,,käar,kàrà,,,
margouillat,£-b3$,béylà,k{1,£-b3s,k£-ngäl-bènti : KoN=ké11,,£-bàylà:Kul=kflt,£-bàÿlà,,bäylà,kfi1,béylà,kil,
mari,ngàw,ngàw,ngàw,ngàw,ngà,ngàbà,ngàw,ngàw : Mhb=ngàw,,ngôw,ngà,ngàw,ngà,ngàPi
"marmite, petit",mba-tà,bày,,,bày,hàyà,bày,,,,,,,
FO,,,,,,,,bày : Mh=bày,,,bày,bày,,
marqueur d'interrogation,wà,à,,wà,wà,wà,wà,wà,,wà,à,à,à,à
marqueur de débarrassement,k5$,k5$,kènèng,k5$,k5k£,,ràng,k5ré,k5$,k5$,k5$,k5$,k5$,Kk5$
marqueur du futur,à,à,,à,à,nj-,à,à,,à,à,à,à,a
marqueur du pluriel : nom,je,je: Do=ge,,g#x,g#,ge,je:Kul=ge,je,-g#,je:Nar-=-g#,,je: Sr-g#,,-9+
marqueur du pluriel : verbe,-1,-1,-1,-1,-1,,,,,-1,-n,,-1,
marqueur locatif,t£,t£:Dh=ti,,t£,té,,t#,g£,t£,t#,t£,-d#,tf,t#
matin. de bon matin,ki-sf,si,,si,ndédgé,,ki-sf:Kul=jinjs,nd5$,,si,kè-ndoÿ,nd5$,dùû-10ÿ,d31d6
maudire,màn,man,,màn,man,,,ùgù,,màn,bar,màn,timbe,
mauvais : être,-màjài,-màajài,,-màjài,màjilé,àsûü,mänjàñg,,mà j à Î,màjàÎ,-mèajài:NgT-màjài,màjèÎ:Sr-màjài,,
me (obj. de verbe),-m,-m,-m,-m,-m,,-m,-m,-m,-m:Nar-=-m,,-m,-m,
médicament,déwa,däwa,dân,"-dâwa, kI",kùgè,,,"küma, kèma",,küms,,küma,ki,Kk1
melon,wàsx,wàst,wàs,wàsE,wàsE,wàso,wàs+,wàst,,wàs+,wàs#,wàst,wàs+,
même,,,,kâre-bà,,,käraä-bàa,kära-bà,,kÈi-k£éra:NgT-k£ba,,käâra,,
menton,£-ngèngérs,gôn,,mdtigôn,bégém-tà,,gél-tà,gé1l-tà,bôgà,gin-tà,bôgo,gél-tà,bogù,
mère,Kk$,ké,ké,ké,ké,k6ù,Kk6 : Kul=k6d,ké,k$o,ké,k6,k6,küù,Kké
mesurer,mb5j#,mb5)j#,,mb$jx,mb5j#,,,mb$31 : Mh=mb5jx,,mbj#,mb5j#,mb$j1,,
ttre en rang,,Ôs#,ùs,,,,,dsi,dsE,,,,,
ttre les os ensemble,,,,,nàma,,,,,nàèm,,nàm,,
el,ùbi-tèji,tèji,,mbàn-tèji,übu-tüjù,,ùbu-tè)ji,ùbu,tèii,ùbi-tôji,yibitèji,tènji,tèjà,
"eux, être mieux",s6-t£,s6-t#,,s6-t#,s6-t£,,sété#,,s6-t£,sé-t#,56-t£,s6-d£,s6-t#,s600-t#
1 (mot général),,,,ko,ko,kämbé,Kko : Kul=tEe,,y4a-k6o,ko,Kko,ko,"bügid£é, ko",mbür
1 pénicillaire,téy,tsy,tey,teéy,tey,,tey,täy,,tsy,téy,tsy,-teéy,
1 sauvage,,,,,jèr,,,)5mrls,jdr,jè,,,jèr,
"1, esp. de.",wàa,wa : Do=wàa,,wàa,wès,,wàa,wàa,,ws,,wàa,uwä,Èiwa
lle,sàk#,dib#,säk,dèr,àruü-dÔgà,,dùrû,,,,,,,
Français :,,,,,,,,t#1-dÔg,,dübé,düb#,säg#,dubü,dubû
mille-pattes,£-külülu,,,$-kuüulülu,kèülülu,kéngé,£-kùlülu,£-Kkülül1ü,k£-kùlt,,koro-r5ÿ,külülu,külülu,k£-ndàdàrt
"mince, svelte : être",mbàtài,mbàtà,mbèt,mbàtà,mbètà,,,mbàdi,mbàtà,mboàètà,,mbàdi,,mbètà
modeler,Èbs,ibs,,ùws,ùbs,ùba,ùBa,ùba,6a,ùbs,Èi£s,ùba,i$a,
moi (forme indépendant),mi,m1 : Do=ma,,mL,,,maä,,m1,ma,ma,ma,ma,
mollet,,,,,ndàndan : Mh=s$1l,,,,,ndän-njà,,,631,
"mon, ma (oblique)","-""",-mM,-mM,-mM,-mM,,-m,-m,-mM,-n,-m,-n,-1#,--m
monter,àl,à] : Dh=àT,,àl,àl,à10,àl : Kul=à10,à],àT,àl,àl,àl,àl,àl
monticule; termitière,£-d1i,-d1i,,"dd-gé-d1,£-d1i",,,,,,,,,,
- Langues Sara,,,,,dii-dit,,t110,dd$-i1{,d1f,d$é-d1i:Nar-d1ii,,dd-g£-d1i,d1i,
montrer,,t53x,t5;,,,,,,t53#,,,,,
"montrer, expliquer",dji,3jà,à),t$j£,djE,3jà,3ù,t51,d5È,3jÈ,d)È,t5j1,àdjà,wd à
mordre,d9,dà,dù,d9,d9,jùnû,t6,t6,ddo,d,do,t6,dù,dù
mort,koôy,kdy,koy,kdy,kdy,ila,koôy,küy,,"kdy, yo",koy,kôy,"kôy, yo",
mort; sorcerie,yo,yo,yd,y,yo,,yù,yo,,yd,yo,yo,yù,yo
mortier,bir,bèr,bit,bir,bir,bèrt,birt,bit,bit,bir,bir,birt,bir,bid#
mouche,kéng,kéng#,kéS,kéngx,kéng,käMm,kém,kéw,kéng,kém,kéng,kém,kéng,
mouche tsé-tsé,,,,,kéng-mbà,mbà,,£-Kk51,mbàa,gèng,gàng,séi,,
mouillé : être,mbs 1,yom,yin,yom,nom,,,yOm,,ndùy,nom,151,mbol,
mourir,0y,dy,dy,dy,0y,0,0y,ùy,dy,0dy,0y,ùy,0y,woy
mousse,,külüm,,pülùm,pülulü,hündülü,,hühügü,hülùm,èm,hüluû,,hülü,
moustique,yi1,y#1,,yi1l,yil,wélü,y{1,f1,yil,yil,yil,y{1,yfl,yil
mouton,bàt#,bàt#,bät,bàt#,bàt#,,bàt# : Kul=bàta,bàd#m,,bàt#,bàt#,bàd#,bàt#,-bàt#
mûr : être,mb3)jÈ,mbù),às,"gssirs, kàsi",Kkèr,,sàng,kàsà,mbù; à,kàsi,,"Ôb+t, kàs",25,
n'exister pas,gôté,gèté,gèté,got6,gèté,,gèté,godé,gdt6o,gdté,got60,gôdé,gût60o,gté
iger,àlè,àlè,,àlà,àlè,àlè,àlè,àlè,àl,àlè,àliyà,àlè,àl,kàl
itte : sorte de,pâl,päl,,pâl,ràkà,njàgà,gàkirà,,,pél,wàaä,tuwa-tégz,ràgà,bèl
itte : sorte de,tuws,tüws,,tüuws,tuws,,ràk?,tuwa,tüwa,tuws,,tüwa,wàa,
> faut pas,0t£,ût£:Dbh=6t#,,dté,,,,,dt#,,1-10,,10,
uf (9),ii-kâre,j1-kâre,,j)1-kéra,ji-sé):-mIi:KbN-dàkabü,,j1-kâra : Kul=dàhabü,gènè-kära,j1-k£ra,"j1-kâre, j1-này-kâre",ndoh6,j1-này-kéra,ndohé,ndohé
Z,èm,èm,kén,ù,kér-ùm,künu,ùm,ùm,,èm,kôn,èm,kén,kôn
er,man)j+,ma)jx,na),man)j+,na)j+,nganga,may,may,,na;)#x,nej#,may,nej#,
eud,,,,,,,,,ngûn,dù,,,kirè,
noir :être,ndùl,ndùl,i1,ndùl,ndùl,il1i,ndùl : Kul=it,ndùl,i1,ndül,ndûl,ndûl,ndûl,ndùl
noix de karité,,£-r5y:Gor-d5ÿ,,,,,,£-d5ÿ,,£-d5,d5 ÿ,,,
noix kola,géro,géro,,gérs,gérû,ki-r56,gérd,gérd,géro,gérà,gérû,gérd,gérd,
nom,t5,t5 : Dhb=t5,,t9,r1i,y1,r1,r1,,r1,r1,r1,r1,r1
nombre,k5r,k5r : Do=k5r,,k5r,k5r,,k5r,k5r,,k5r,k5r,k5,,kûtà
"nombreux, être",ya,bày,,bày,bùlè,,békay,ba,"bàa, bèila","dngt,",bilà,bülà,bilà,bähay
nombril,künm,küm,küm,küm,küm,küm,küm,küm,,küm,küm,kum,küm,
nourriture,né-kùss,né-kùsû,yé-kùsà,yé-kùsd,yé-kùsè,nâku,,,,,,,,
- Langues Sara,,,,,,,né,né-küsà,y4a-k£-sà : N9T=y4-kèsà,,,né-s,yéà-kèsà,
| [nous (nom.),ji-,,,j-,"jè, j-",,i-,jà-,ki-,ji-,ji-,)-,"jà-, j-",-jài-
nous (nom.),i-,j- : Dh=;-,,"j-, j-",j-,,,)-,)j-,j-,)-,)-,)-,
nous (obj. de verbe),-jè,-jè,-jé,"-jè, -jè","-jè, -Jjè",jé,-jé,-s4,-jè,-jf,-jf,"-si, -si",-jf,
"nous (oblique); notre, nos",-jé,,,-jé,-jé,,-jé : Kul=jéà,-sf,-j£,-;jf,"-ji, -j{",-si,-ji,-3j#
"nouveau, neuf",sigi,sègà,kij,sigi,kig,,siki:Kul=dya,sigi,kijà,sigà,kiji,kigi,kijà,
J | nouvelles,,pôÿ,,,kÔbE,,,ké,h0y,,käâs#,,,
noyau,känd#,gum,,kändx#,j1b#r1i,koOngo,,ngàw-ùr,günm,ka,güumb#+ruüu,känd#,gumbtru,
"nuageux, noir : être",il,il,,il,il,,il1,i],ilT,i,il,il,il,yil
"nuit, sombre : être",du,d+b#,,du,,,"ndùl : M=duüuu, d1iw",,,ndùl,,ndül,,
nuque,g0,go,kûüt-go,gär-go,y1-g0,,go,,,g0,go,go,go,
odeur nauséabond,,,,,,,,,sé£wé,s$é,,,sé,
oeil,kèm,kèm,kèm,kùm,küm,kàm,kèm,kèm,,kèm,küm,kèm,kèm,kùm
oeufs,kàw,kàw,kàäw,kàw,kàw,kdEè,kàw : Kul=hàBè,kàw,kàw,kdw,kà,kàw,kà,kàw
oignon sauvage ‘esp. de,,,,,,,,,ndi ja,ndi js,,,ndija,
oiseau,yè1,yèl,yèl,yèl,èl,àlI,è1 : Kul=k616,yèl,yèl,èl,yèl,èl,yèl,yèl
oiseau : drongo,,dängt,,,,gu,,£-ngàw-yo-àng,,jüm,)jüûm,) Îmti,j)ümbu,)ûmb#
ombre; esprit,ndi1,nd£$l,ni11,ndi1,ndil,njfl1i,njfl,n)jf1,ndf1,ndfil,ndil,ndil,ndfi,ndfil
oncle maternel,nan,nan,nan,,,,,,,,,,,
OS,,,,nan,nan,nano,naän : Kul=nono,nan,nan,nan,nan,nané,nan,nan
ze,dôg-gidé-kâre,,di-dé-j5d,-ddgi-de-kâre,ddg-gidè-kâre,,dikè-re-kâra,,,,,,,
